Номер теста;Задержка сигнала (мкс);СРЕДНЯЯ задержка сигнала (мкс)
1623;227;314
1624;209;314
1625;213;314
1626;229;314
1627;199;314
1628;212;314
1629;2618;315
1630;781;315
1631;234;315
1632;229;315
1633;225;315
1634;216;315
1635;236;315
1636;206;315
1637;216;315
1638;223;315
1639;205;315
1640;213;315
1641;227;315
1642;198;315
1643;223;314
1644;218;314
1645;206;314
1646;682;315
1647;219;314
1648;200;314
1649;212;314
1650;697;315
1651;239;315
1652;206;314
1653;222;314
1654;714;315
1655;209;315
1656;216;315
1657;235;314
1658;683;315
1659;223;315
1660;242;315
1661;213;315
1662;698;315
1663;235;315
1664;205;315
1665;220;315
1666;708;315
1667;212;315
1668;212;315
1669;229;315
1670;680;315
1671;222;315
1672;231;315
1673;203;315
1674;694;315
1675;230;315
1676;199;315
1677;216;315
1678;698;315
1679;1905;316
1680;233;316
1681;230;316
1682;219;316
1683;218;316
1684;231;316
1685;212;316
1686;224;316
1687;228;316
1688;209;315
1689;220;315
1690;236;315
1691;208;315
1692;219;315
1693;235;315
1694;203;315
1695;215;315
1696;231;315
1697;208;315
1698;221;315
1699;229;315
1700;211;315
1701;214;315
1702;230;315
1703;204;315
1704;218;315
1705;227;314
1706;202;314
1707;212;314
1708;229;314
1709;212;314
1710;217;314
1711;221;314
1712;206;314
1713;224;314
1714;231;314
1715;210;314
1716;215;314
1717;222;314
1718;202;314
1719;213;314
1720;233;314
1721;201;314
1722;224;314
1723;225;313
1724;214;313
1725;222;313
1726;202;313
1727;207;313
1728;225;313
1729;212;313
1730;229;313
1731;207;313
1732;214;313
1733;227;313
1734;202;313
1735;220;313
1736;223;313
1737;206;313
1738;217;313
1739;233;313
1740;216;312
1741;220;312
1742;231;312
1743;214;312
1744;223;312
1745;208;312
1746;213;312
1747;225;312
1748;204;312
1749;220;312
1750;225;312
1751;214;312
1752;223;312
1753;234;312
1754;205;312
1755;224;312
1756;707;312
1757;208;312
1758;219;312
1759;231;312
1760;694;312
1761;225;312
1762;199;312
1763;216;312
1764;242;312
1765;208;312
1766;234;312
1767;198;312
1768;213;312
1769;225;311
1770;201;311
1771;212;311
1772;226;311
1773;203;311
1774;214;311
1775;220;311
1776;208;311
1777;355;311
1778;228;311
1779;582;311
1780;217;311
1781;222;311
1782;201;311
1783;211;311
1784;224;311
1785;226;311
1786;213;311
1787;220;311
1788;235;311
1789;204;311
1790;219;311
1791;226;311
1792;204;311
1793;217;310
1794;235;310
1795;201;310
1796;213;310
1797;693;311
1798;201;310
1799;210;310
1800;221;310
1801;708;311
1802;209;311
1803;218;310
1804;231;310
1805;681;311
1806;217;311
1807;225;311
1808;206;310
1809;692;311
1810;228;311
1811;206;311
1812;213;311
1813;707;311
1814;211;311
1815;212;311
1816;226;311
1817;675;311
1818;213;311
1819;226;311
1820;205;311
1821;690;311
1822;222;311
1823;231;311
1824;210;311
1825;702;311
1826;207;311
1827;212;311
1828;227;311
1829;706;311
1830;968;311
1831;237;311
1832;230;311
1833;207;311
1834;221;311
1835;228;311
1836;209;311
1837;218;311
1838;233;311
1839;208;311
1840;228;311
1841;232;311
1842;218;311
1843;222;311
1844;204;311
1845;211;311
1846;228;311
1847;200;310
1848;221;310
1849;227;310
1850;206;310
1851;213;310
1852;232;310
1853;204;310
1854;216;310
1855;227;310
1856;206;310
1857;210;310
1858;233;310
1859;208;310
1860;225;310
1861;228;310
1862;213;310
1863;219;310
1864;204;310
1865;215;310
1866;226;310
1867;200;309
1868;214;309
1869;224;309
1870;209;309
1871;213;309
1872;232;309
1873;203;309
1874;221;309
1875;235;309
1876;210;309
1877;217;309
1878;234;309
1879;202;309
1880;221;309
1881;703;309
1882;1633;310
1883;242;310
1884;205;310
1885;227;310
1886;200;310
1887;216;310
1888;223;309
1889;210;309
1890;218;309
1891;201;309
1892;211;309
1893;225;309
1894;200;309
1895;252;309
1896;226;309
