Номер теста;Задержка сигнала (мкс);СРЕДНЯЯ задержка сигнала (мкс)
592;696;246
593;220;246
594;208;246
595;211;246
596;218;245
597;213;245
598;216;245
599;193;245
600;195;245
601;220;245
602;193;245
603;241;245
604;213;245
605;198;245
606;213;245
607;216;245
608;226;245
609;211;245
610;217;245
611;224;245
612;188;245
613;294;245
614;1120;246
615;207;246
616;207;246
617;702;247
618;193;247
619;206;247
620;212;246
621;200;246
622;222;246
623;192;246
624;213;246
625;217;246
626;204;246
627;205;246
628;229;246
629;193;246
630;216;246
631;222;246
632;198;246
633;200;246
634;226;246
635;198;246
636;212;246
637;233;246
638;204;245
639;207;245
640;219;245
641;194;245
642;214;245
643;699;246
644;196;246
645;201;246
646;228;246
647;199;246
648;208;246
649;216;246
650;203;245
651;210;245
652;222;245
653;278;245
654;212;245
655;248;245
656;203;245
657;263;245
658;211;245
659;697;246
660;216;246
661;247;246
662;206;246
663;707;247
664;193;246
665;259;247
666;215;246
667;687;247
668;205;247
669;271;247
670;191;247
671;697;248
672;216;248
673;246;248
674;204;248
675;710;248
676;193;248
677;266;248
678;219;248
679;687;249
680;210;249
681;274;249
682;197;249
683;698;249
684;218;249
685;259;249
686;312;249
687;676;250
688;196;250
689;262;250
690;189;250
691;700;251
692;212;250
693;246;250
694;196;250
695;705;251
696;191;251
697;250;251
698;217;251
699;684;252
700;201;251
701;268;251
702;199;251
703;702;252
704;263;252
705;256;252
706;208;252
707;708;253
708;200;253
709;262;253
710;221;253
711;689;253
712;224;253
713;238;253
714;199;253
715;705;254
716;193;254
717;255;254
718;216;254
719;684;254
720;208;254
721;275;254
722;196;254
723;697;255
724;218;255
725;248;255
726;206;254
727;678;255
728;195;255
729;265;255
730;219;255
731;221;255
732;216;255
733;210;255
734;212;255
735;225;255
736;217;255
737;217;255
738;192;254
739;210;254
740;212;254
741;198;254
742;201;254
743;221;254
744;212;254
745;215;254
746;203;254
747;203;254
748;231;254
749;199;254
750;217;254
751;220;254
752;205;254
753;211;254
754;233;254
755;198;253
756;210;253
757;223;253
758;210;253
759;212;253
760;230;253
761;197;253
762;220;253
763;221;253
764;209;253
765;196;253
766;199;253
767;216;253
768;216;253
769;208;253
770;214;253
771;201;253
772;202;253
773;219;253
774;189;252
775;212;252
776;213;252
777;200;252
778;201;252
779;220;252
780;185;252
781;211;252
782;212;252
783;227;252
784;274;252
785;219;252
786;679;252
787;213;252
788;214;252
789;198;252
790;219;252
791;225;252
792;195;252
793;216;252
794;221;252
795;685;253
796;212;253
797;196;252
798;204;252
799;216;252
800;211;252
801;211;252
802;190;252
803;234;252
804;216;252
805;193;252
806;207;252
807;216;252
808;200;252
809;207;252
810;225;252
811;193;252
812;209;252
813;217;252
814;201;252
815;204;251
816;231;251
817;192;251
818;215;251
819;220;251
820;201;251
821;692;252
822;226;252
823;197;252
824;213;252
825;220;252
826;207;252
827;206;251
828;222;251
829;197;251
830;701;252
831;223;252
832;202;252
833;204;252
834;230;252
835;215;252
836;221;252
837;195;252
838;202;252
839;225;251
840;196;251
841;212;251
842;223;251
843;203;251
844;208;251
845;225;251
846;193;251
847;211;251
848;222;251
849;197;251
850;204;251
851;227;251
852;196;251
853;229;251
854;215;251
855;195;251
856;222;251
857;191;251
858;202;251
859;215;250
860;196;250
861;203;250
862;223;250
863;193;250
864;211;250
865;213;250
866;196;250
867;204;250
868;229;250
869;184;250
870;210;250
871;214;250
872;223;250
873;197;250
874;219;250
875;221;250
876;204;250
877;688;250
878;246;250
879;198;250
880;226;250
881;215;250
882;206;250
883;203;250
884;229;250
885;193;250
886;687;250
887;212;250
888;201;250
889;205;250
890;222;250
891;209;250
892;211;250
893;194;250
894;211;250
895;223;250
896;189;250
897;206;250
898;212;250
899;196;250
900;203;250
901;222;250
902;579;250
903;204;250
904;217;250
905;201;250
906;205;250
907;222;250
908;189;250
909;202;250
910;213;250
911;198;250
912;222;249
