Номер теста;Задержка включения (us);СРЕДНЯЯ задержка включения (us);Задержка спада (us);СРЕДНЯЯ задержка спада (us);Длительность ответа (us);СРЕДНЯЯ длительность ответа (us)
4113;1368;1016;13;1436;248646;250422
4114;1368;1016;13;1436;248646;250422
4115;1364;1016;13;1436;248650;250421
4116;2152;1017;18;1435;247868;250421
4117;1331;1017;3206;1436;251877;250421
4118;7;1016;17;1435;250014;250421
4119;2309;1017;13;1435;247707;250420
4120;2313;1017;307;1435;247997;250420
4121;15;1017;283;1435;250271;250420
4122;2284;1017;9;1434;247729;250419
4123;15;1017;18;1434;250006;250419
4124;11;1017;9;1434;250001;250419
4125;2260;1017;9;1433;247749;250418
4126;7;1017;340;1433;250337;250418
4127;2243;1017;9;1433;247766;250417
4128;2231;1017;245;1432;248015;250417
4129;11;1017;14;1432;250006;250417
4130;15;1017;208;1432;250196;250417
4131;2198;1017;195;1431;247998;250416
4132;15;1017;187;1431;250175;250416
4133;2218;1017;191;1431;247974;250415
4134;2173;1017;17;1430;247846;250415
4135;2169;1018;13;1430;247846;250414
4136;2161;1018;17;1430;247858;250414
4137;11;1018;137;1429;250129;250414
4138;16;1017;9;1429;249997;250413
4139;12;1017;17;1429;250005;250413
4140;2120;1017;13;1428;247896;250413
4141;15;1017;108;1428;250096;250413
4142;12;1017;4095;1429;254083;250414
4143;2099;1017;4091;1429;251995;250414
4144;2091;1017;4075;1430;251987;250414
4145;2075;1018;66;1430;247991;250414
4146;2148;1018;4058;1430;251912;250414
4147;7;1018;50;1430;250047;250414
4148;7;1018;4037;1431;254034;250415
4149;15;1017;4034;1431;254022;250416
4150;2486;1018;4020;1432;251534;250416
4151;2018;1018;4016;1432;251999;250416
4152;2009;1018;9;1432;248001;250416
4153;16;1018;3995;1433;253983;250417
4154;2001;1018;9;1432;248009;250416
4155;7;1018;3976;1433;253973;250417
4156;1982;1018;18;1433;248037;250416
4157;1962;1018;3960;1433;252000;250417
4158;12;1018;4531;1434;254519;250418
4159;958;1018;9;1434;249052;250417
4160;11;1018;18;1433;250010;250417
4161;11;1018;14;1433;250006;250417
4162;12;1017;2913;1433;252901;250418
4163;5925;1019;13;1433;244090;250416
4164;1904;1019;3889;1434;251988;250417
4165;7;1018;3885;1434;253882;250417
4166;7;1018;3876;1435;253873;250418
4167;1875;1018;3868;1435;251997;250419
4168;1871;1019;3851;1436;251980;250419
4169;1854;1019;9;1436;248155;250419
4170;8258;1021;13;1435;241756;250416
4171;16;1020;3818;1436;253806;250417
4172;7;1020;9;1435;250006;250417
4173;686;1020;3819;1436;253135;250418
4174;15;1020;18;1436;250006;250418
4175;1793;1020;3798;1436;252006;250418
4176;15;1020;18;1436;250006;250418
4177;15;1019;18;1436;250006;250418
4178;1776;1020;979;1435;249204;250418
4179;760;1020;13;1435;249254;250417
4180;11;1019;2747;1435;252739;250418
4181;7;1019;9;1435;250006;250418
4182;15;1019;14;1435;250002;250418
4183;16;1019;13;1434;250001;250418
4184;7;1018;3718;1435;253715;250418
4185;1698;1019;13;1435;248318;250418
4186;7;1018;9;1434;250006;250418
4187;1694;1018;3685;1435;251994;250418
4188;7;1018;3668;1435;253665;250419
4189;11;1018;3665;1436;253657;250420
4190;11;1018;3669;1436;253661;250420
4191;15;1018;3648;1437;253636;250421
4192;7;1017;13;1437;250010;250421
4193;1636;1017;17;1436;248381;250421
4194;1619;1018;3627;1437;252008;250421
4195;1611;1018;13;1436;248403;250421
4196;1607;1018;3602;1437;251996;250421
4197;1595;1018;13;1437;248419;250420
