Номер теста;Задержка включения (us);СРЕДНЯЯ задержка включения (us);Задержка спада (us);СРЕДНЯЯ задержка спада (us);Длительность ответа (us);СРЕДНЯЯ длительность ответа (us)
1158;15;41;9;21;249997;249983
1159;16;41;9;21;249997;249983
1160;11;41;18;21;250010;249983
1161;20;41;22;21;250005;249983
1162;11;41;14;21;250006;249983
1163;20;41;14;21;249997;249983
1164;11;41;14;21;250006;249983
1165;20;41;9;21;249992;249983
1166;20;41;14;21;249997;249983
1167;12;41;13;21;250001;249983
1168;20;41;22;21;250005;249983
1169;12;41;9;21;249997;249983
1170;11;41;18;21;250010;249983
1171;16;41;17;21;250005;249983
1172;15;41;14;21;250002;249983
1173;12;41;13;21;250001;249983
1174;7;41;9;21;250006;249983
1175;16;41;13;21;250001;249983
1176;7;41;9;21;250006;249983
1177;16;41;13;21;250001;249983
1178;11;41;18;21;250010;249983
1179;7;41;17;21;250010;249983
1180;11;41;18;21;250010;249983
1181;7;41;13;21;250010;249983
1182;11;41;18;21;250010;249983
1183;15;41;14;21;250002;249983
1184;11;41;18;21;250010;249983
1185;15;41;9;21;249997;249983
1186;11;40;22;21;250014;249983
1187;11;40;14;21;250006;249983
1188;15;40;9;21;249997;249983
1189;11;40;22;21;250014;249983
1190;7;40;17;21;250014;249983
1191;11;40;14;21;250006;249983
1192;20;40;18;21;250001;249983
1193;20;40;18;21;250001;249983
1194;11;40;22;21;250014;249983
1195;15;40;9;21;249997;249983
1196;20;40;14;21;249997;249983
1197;7;40;17;21;250010;249983
1198;15;40;9;21;249997;249983
1199;11;40;9;21;250001;249983
1200;15;40;9;21;249997;249983
1201;20;40;9;21;249992;249983
1202;11;40;9;21;250001;249983
1203;20;40;9;21;249992;249983
1204;11;40;18;21;250010;249984
1205;20;40;14;21;249997;249984
1206;11;40;14;21;250006;249984
1207;15;40;18;21;250006;249984
1208;16;40;17;21;250005;249984
1209;11;40;14;21;250006;249984
1210;16;40;17;21;250005;249984
1211;12;40;9;21;249997;249984
1212;11;40;22;21;250014;249984
1213;15;40;18;21;250006;249984
1214;20;40;14;21;249997;249984
1215;15;40;14;21;250002;249984
1216;15;40;18;21;250006;249984
1217;11;40;18;21;250010;249984
1218;15;40;18;21;250006;249984
1219;20;40;18;21;250001;249984
1220;11;40;18;21;250010;249984
1221;20;40;14;21;249997;249984
1222;16;40;9;21;249997;249984
1223;11;40;18;21;250010;249984
1224;20;40;14;21;249997;249984
1225;16;40;17;21;250005;249984
1226;20;40;9;21;249992;249984
1227;11;40;14;21;250006;249984
1228;20;40;9;21;249992;249984
1229;11;40;14;21;250006;249984
1230;12;40;9;21;249997;249984
1231;7;40;13;21;250006;249984
1232;20;39;18;21;250001;249984
1233;15;39;9;21;249997;249984
1234;12;39;13;21;250001;249984
1235;12;39;13;21;250001;249984
1236;15;39;9;21;249997;249984
1237;15;39;14;21;250002;249984
1238;11;39;14;21;250006;249984
1239;15;39;14;21;250002;249984
1240;16;39;13;21;250001;249984
1241;15;39;9;21;249997;249984
1242;15;39;18;21;250006;249984
1243;20;39;18;21;250001;249984
1244;20;39;18;21;250001;249984
1245;11;39;9;21;250001;249984
1246;15;39;22;21;250010;249984
1247;11;39;14;21;250006;249984
1248;11;39;14;21;250006;249984
1249;15;39;18;21;250006;249984
1250;15;39;18;21;250006;249984
1251;15;39;9;21;249997;249984
1252;20;39;637;21;250620;249985
1253;20;39;9;21;249992;249985
1254;15;39;18;21;250006;249985
1255;11;39;14;21;250006;249985
1256;16;39;13;21;250001;249985
1257;16;39;17;21;250005;249985
1258;11;39;9;21;250001;249985
1259;11;39;9;21;250001;249985
1260;15;39;14;21;250002;249985
1261;20;39;22;21;250005;249985
1262;15;39;9;21;249997;249985
1263;15;39;9;21;249997;249985
1264;15;39;14;21;250002;249985
1265;11;39;9;21;250001;249985
1266;11;39;9;21;250001;249985
1267;20;39;9;21;249992;249985
1268;7;39;13;21;250006;249985
1269;15;39;9;21;249997;249985
1270;20;39;9;21;249992;249985
1271;11;39;18;21;250010;249985
1272;16;39;13;21;250001;249985
1273;15;39;14;21;250002;249985
1274;11;39;9;21;250001;249985
1275;15;39;9;21;249997;249985
1276;15;39;18;21;250006;249985
1277;20;39;14;21;249997;249985
1278;15;39;9;21;249997;249985
1279;11;39;14;21;250006;249985
1280;11;39;14;21;250006;249985
1281;20;39;18;21;250001;249985
1282;7;38;13;21;250010;249985
1283;20;38;18;21;250001;249985
1284;15;38;14;21;250002;249985
1285;15;38;14;21;250002;249985
1286;11;38;14;21;250006;249985
1287;15;38;14;21;250002;249985
1288;11;38;14;21;250006;249985
1289;15;38;9;21;249997;249985
1290;11;38;14;21;250006;249985
1291;847;39;9;21;249165;249985
1292;15;39;14;21;250002;249985
1293;12;39;9;21;249997;249985
1294;15;39;9;21;249997;249985
1295;15;39;9;21;249997;249985
1296;11;39;18;21;250010;249985
1297;16;39;17;21;250005;249985
1298;20;39;9;21;249992;249985
1299;20;39;18;21;250001;249985
1300;20;39;14;21;249997;249985
1301;12;39;17;21;250005;249985
1302;12;39;13;21;250001;249985
1303;11;39;18;21;250010;249985
1304;20;39;14;21;249997;249985
1305;20;39;14;21;249997;249985
1306;11;39;9;21;250001;249985
1307;15;39;18;21;250006;249985
1308;40;39;13;21;249976;249985
1309;12;39;17;21;250005;249985
1310;15;39;14;21;250002;249985
1311;7;39;13;21;250010;249985
1312;15;39;14;21;250002;249985
1313;16;39;21;21;250009;249985
1314;15;39;14;21;250002;249985
1315;7;39;17;21;250014;249985
1316;12;39;17;21;250005;249985
1317;11;38;18;21;250010;249985
1318;11;38;18;21;250010;249985
1319;16;38;17;21;250005;249985
1320;7;38;13;21;250010;249985
1321;16;38;17;21;250005;249985
1322;20;38;9;21;249992;249985
1323;12;38;17;21;250005;249985
1324;11;38;18;21;250010;249985
1325;11;38;14;21;250006;249985
1326;15;38;14;21;250002;249985
1327;15;38;14;21;250002;249985
1328;15;38;14;21;250002;249985
1329;16;38;17;21;250005;249985
1330;11;38;18;21;250010;249985
1331;15;38;18;21;250006;249985
1332;11;38;18;21;250010;249985
1333;20;38;18;21;250001;249985
1334;20;38;18;21;250001;249985
1335;11;38;9;21;250001;249985
1336;15;38;18;21;250006;249985
1337;11;38;9;21;250001;249985
1338;16;38;17;21;250005;249985
1339;11;38;14;21;250006;249985
1340;15;38;18;21;250006;249985
1341;20;38;14;21;249997;249985
1342;15;38;14;21;250002;249985
1343;11;38;14;21;250006;249985
1344;11;38;14;21;250006;249985
1345;12;38;9;21;249997;249985
1346;15;38;14;21;250002;249985
1347;15;38;18;21;250006;249985
1348;12;38;13;21;250001;249985
1349;12;38;9;21;249997;249985
1350;12;38;13;21;250001;249985
1351;7;38;13;21;250010;249985
1352;15;38;9;21;249997;249985
1353;7;38;17;21;250014;249985
1354;15;38;9;21;249997;249985
1355;11;38;14;21;250006;249985
1356;11;38;9;21;250001;249985
1357;20;38;55;21;250038;249985
1358;15;38;55;21;250043;249986
1359;20;38;38;21;250021;249986
1360;15;38;38;21;250026;249986
1361;15;38;26;21;250014;249986
1362;15;38;18;21;250006;249986
1363;11;38;529;21;250521;249986
1364;15;38;18;21;250006;249986
1365;7;38;17;21;250014;249986
1366;15;38;14;21;250002;249986
1367;11;38;14;21;250006;249986
1368;11;38;14;21;250006;249986
1369;11;38;18;21;250010;249986
1370;11;38;9;21;250001;249986
1371;20;37;14;21;249997;249986
1372;11;37;18;21;250010;249986
1373;12;37;17;21;250005;249986
1374;20;37;9;21;249992;249986
1375;7;37;17;21;250014;249986
1376;20;37;100;21;250083;249986
1377;15;37;18;21;250006;249986
1378;20;37;14;21;249997;249986
1379;15;37;14;21;250002;249986
1380;7;37;13;21;250010;249986
1381;20;37;9;21;249992;249986
1382;20;37;14;21;249997;249986
1383;15;37;18;21;250006;249986
1384;11;37;22;21;250014;249986
1385;15;37;14;21;250002;249986
1386;15;37;14;21;250002;249986
1387;20;37;9;21;249992;249986
1388;20;37;14;21;249997;249986
1389;11;37;14;21;250006;249986
1390;15;37;18;21;250006;249986
1391;15;37;9;21;249997;249986
1392;12;37;9;21;249997;249986
1393;11;37;18;21;250010;249986
1394;15;37;9;21;249997;249986
1395;11;37;22;21;250014;249986
1396;15;37;14;21;250002;249986
1397;7;37;13;21;250010;249986
1398;7;37;21;21;250014;249986
1399;11;37;18;21;250010;249986
1400;11;37;18;21;250010;249987
1401;7;37;9;21;250006;249987
1402;798;38;18;21;249220;249986
1403;16;37;17;21;250005;249986
1404;12;37;9;21;249997;249986
1405;15;37;18;21;250006;249986
1406;7;37;13;21;250010;249986
1407;7;37;17;21;250010;249986
1408;15;37;9;21;249997;249986
1409;15;37;18;21;250006;249986
1410;20;37;14;21;249997;249986
1411;7;37;13;21;250010;249986
1412;12;37;13;21;250001;249986
1413;11;37;18;21;250010;249986
1414;7;37;9;21;250006;249986
1415;12;37;17;21;250005;249986
1416;15;37;18;21;250006;249986
1417;7;37;21;21;250018;249986
1418;11;37;14;21;250006;249986
1419;24;37;13;21;249992;249986
1420;16;37;17;21;250005;249986
1421;11;37;18;21;250010;249986
1422;15;37;9;21;249997;249986
1423;7;37;9;21;250006;249986
1424;11;37;18;21;250010;249986
1425;15;37;18;21;250006;249986
1426;20;37;14;21;249997;249986
1427;20;37;9;21;249992;249986
1428;11;37;14;21;250006;249986
1429;16;37;21;21;250009;249986
1430;20;37;18;21;250001;249986
1431;7;37;9;21;250002;249986
1432;11;37;9;21;250001;249986
1433;20;37;18;21;250001;249986
1434;11;37;14;21;250006;249986
1435;20;37;22;21;250005;249986
1436;620;37;13;21;249393;249986
1437;15;37;14;21;250002;249986
1438;15;37;18;21;250006;249986
1439;11;37;14;21;250006;249986
1440;16;37;13;21;250001;249986
1441;15;37;18;21;250006;249986
1442;11;37;14;21;250006;249986
1443;15;37;9;21;249997;249986
1444;15;37;14;21;250002;249986
1445;16;37;13;21;250001;249986
1446;15;37;14;21;250002;249986
1447;16;37;13;21;250001;249986
1448;12;37;9;21;249997;249986
1449;16;37;17;21;250005;249986
1450;20;37;9;21;249992;249986
1451;15;37;18;21;250006;249986
1452;15;37;18;21;250006;249986
1453;16;37;9;21;249997;249986
1454;20;37;18;21;250001;249986
1455;20;37;18;21;250001;249986
1456;15;37;18;21;250006;249986
1457;15;37;14;21;250002;249986
1458;20;37;22;21;250005;249986
1459;11;37;9;21;250001;249986
1460;60;37;18;21;249960;249986
1461;60;37;18;21;249960;249986
1462;64;37;9;21;249947;249986
1463;48;37;17;21;249972;249986
1464;36;37;13;21;249980;249986
1465;28;37;18;21;249993;249986
1466;20;37;18;21;250001;249986
1467;15;37;14;21;250002;249986
1468;11;37;14;21;250006;249986
1469;16;37;17;21;250005;249986
1470;20;37;18;21;250001;249986
1471;15;37;14;21;250002;249986
1472;16;37;13;21;250001;249986
1473;12;37;17;21;250005;249986
1474;11;37;274;21;250266;249986
1475;11;37;18;21;250010;249986
1476;15;37;14;21;250002;249986
1477;20;37;14;21;249997;249986
1478;16;37;13;21;250001;249986
1479;11;37;18;21;250010;249986
1480;11;37;18;21;250010;249986
1481;11;37;14;21;250006;249987
1482;11;37;14;21;250006;249987
1483;15;37;14;21;250002;249987
1484;20;37;14;21;249997;249987
1485;15;37;18;21;250006;249987
1486;15;37;9;21;249997;249987
1487;11;37;18;21;250010;249987
1488;11;37;14;21;250006;249987
1489;7;37;9;21;250006;249987
1490;15;37;14;21;250002;249987
1491;11;37;14;21;250006;249987
1492;7;37;9;21;250006;249987
1493;20;37;18;21;250001;249987
1494;11;37;9;21;250001;249987
1495;11;37;18;21;250010;249987
1496;15;37;18;21;250006;249987
1497;11;37;18;21;250010;249987
1498;11;37;14;21;250006;249987
1499;11;37;18;21;250010;249987
1500;15;36;18;21;250006;249987
1501;15;36;1755;22;251743;249988
1502;7;36;17;22;250014;249988
1503;15;36;14;22;250002;249988
1504;15;36;18;22;250006;249988
1505;20;36;18;22;250001;249988
1506;20;36;9;22;249992;249988
1507;11;36;14;22;250006;249988
1508;12;36;17;22;250005;249988
1509;7;36;13;22;250010;249988
1510;11;36;18;22;250010;249988
1511;7;36;13;22;250010;249988
1512;11;36;14;22;250006;249988
1513;11;36;18;22;250010;249988
1514;20;36;18;22;250001;249988
1515;11;36;14;22;250006;249988
1516;11;36;18;22;250010;249988
1517;20;36;18;22;250001;249988
1518;15;36;14;22;250002;249988
1519;11;36;14;22;250006;249988
1520;15;36;9;22;249997;249988
1521;11;36;18;22;250010;249988
1522;15;36;14;22;250002;249988
